Date,HomeTeam,AwayTeam,FTHG,FTAG
2014-12-13,Getafe,Barcelona,0,0
2014-12-13,Malaga,Celta,1,0
2014-12-13,Valencia,Vallecano,3,0
2014-12-14,Ath Madrid,Villarreal,0,1
2014-12-14,Espanol,Granada,2,1
2014-12-14,Sevilla,Eibar,0,0
2014-12-14,Sociedad,Ath Bilbao,1,1
2014-12-15,La Coruna,Elche,1,0
2014-12-19,Celta,Almeria,0,1
2014-12-20,Barcelona,Cordoba,5,0
2014-12-20,Eibar,Valencia,0,1
2014-12-20,Levante,Sociedad,1,1
2014-12-20,Vallecano,Espanol,1,3
2014-12-21,Ath Bilbao,Ath Madrid,1,4
2014-12-21,Elche,Malaga,1,2
2014-12-21,Granada,Getafe,1,1
2014-12-21,Villarreal,La Coruna,3,0
2015-01-03,Ath Madrid,Levante,3,1
2015-01-03,Elche,Villarreal,2,2
2015-01-03,La Coruna,Ath Bilbao,1,0
2015-01-03,Malaga,Almeria,1,2
2015-01-03,Sevilla,Celta,1,0
2015-01-04,Espanol,Eibar,1,2
2015-01-04,Getafe,Vallecano,1,2
2015-01-04,Sociedad,Barcelona,1,0
2015-01-04,Valencia,Real Madrid,2,1
2015-01-05,Cordoba,Granada,2,0
2015-01-09,Levante,La Coruna,0,0
2015-01-10,Celta,Valencia,1,1
2015-01-10,Eibar,Getafe,2,1
2015-01-10,Malaga,Villarreal,1,1
2015-01-10,Real Madrid,Espanol,3,0
2015-01-11,Almeria,Sevilla,0,2
2015-01-11,Ath Bilbao,Elche,1,2
2015-01-11,Barcelona,Ath Madrid,3,1
2015-01-11,Granada,Sociedad,1,1
2015-01-12,Vallecano,Cordoba,0,1
2015-01-16,Cordoba,Eibar,1,1
2015-01-17,Espanol,Celta,1,0
2015-01-17,Sociedad,Vallecano,0,1
2015-01-17,Valencia,Almeria,3,2
2015-01-17,Villarreal,Ath Bilbao,2,0
2015-01-18,Ath Madrid,Granada,2,0
2015-01-18,Elche,Levante,1,0
2015-01-18,Getafe,Real Madrid,0,3
2015-01-18,La Coruna,Barcelona,0,4
2015-01-18,Sevilla,Malaga,2,0
2015-01-24,Ath Madrid,Vallecano,3,1
2015-01-24,Cordoba,Real Madrid,1,2
2015-01-24,Elche,Barcelona,0,6
2015-01-24,Sociedad,Eibar,1,0
2015-01-24,Villarreal,Levante,1,0
2015-01-25,Ath Bilbao,Malaga,1,1
2015-01-25,Espanol,Almeria,3,0
2015-01-25,La Coruna,Granada,2,2
2015-01-25,Valencia,Sevilla,3,1
2015-01-26,Getafe,Celta,2,1
2015-01-30,Vallecano,La Coruna,1,2
2015-01-31,Celta,Cordoba,1,0
2015-01-31,Eibar,Ath Madrid,1,3
2015-01-31,Granada,Elche,1,0
2015-01-31,Real Madrid,Sociedad,4,1
2015-02-01,Almeria,Getafe,1,0
2015-02-01,Barcelona,Villarreal,3,2
2015-02-01,Levante,Ath Bilbao,0,2
2015-02-01,Sevilla,Espanol,3,2
2015-02-02,Malaga,Valencia,1,0
2015-02-04,Real Madrid,Sevilla,2,1
2015-02-06,La Coruna,Eibar,2,0
2015-02-07,Ath Madrid,Real Madrid,4,0
2015-02-07,Levante,Malaga,4,1
2015-02-07,Sociedad,Celta,1,1
2015-02-07,Villarreal,Granada,2,0
2015-02-08,Ath Bilbao,Barcelona,2,5
2015-02-08,Cordoba,Almeria,1,2
2015-02-08,Espanol,Valencia,1,2
2015-02-08,Getafe,Sevilla,2,1
2015-02-09,Elche,Vallecano,2,0
2015-02-13,Almeria,Sociedad,2,2
2015-02-14,Granada,Ath Bilbao,0,0
2015-02-14,Malaga,Espanol,0,2
2015-02-14,Real Madrid,La Coruna,2,0
2015-02-14,Sevilla,Cordoba,3,0
2015-02-15,Barcelona,Levante,5,0
2015-02-15,Celta,Ath Madrid,2,0
2015-02-15,Valencia,Getafe,1,0
2015-02-15,Vallecano,Villarreal,2,0
2015-02-16,Eibar,Elche,0,1
2015-02-20,Getafe,Espanol,2,1
2015-02-21,Ath Madrid,Almeria,3,0
2015-02-21,Barcelona,Malaga,0,1
2015-02-21,Cordoba,Valencia,1,2
2015-02-21,La Coruna,Celta,0,2
2015-02-22,Ath Bilbao,Vallecano,1,0
2015-02-22,Elche,Real Madrid,0,2
2015-02-22,Sociedad,Sevilla,4,3
2015-02-22,Villarreal,Eibar,1,0
2015-02-23,Levante,Granada,2,1
2015-02-27,Espanol,Cordoba,1,0
2015-02-28,Almeria,La Coruna,0,0
2015-02-28,Granada,Barcelona,1,3
2015-02-28,Malaga,Getafe,3,2
2015-02-28,Vallecano,Levante,4,2
2015-03-01,Eibar,Ath Bilbao,0,1
2015-03-01,Real Madrid,Villarreal,1,1
2015-03-01,Sevilla,Ath Madrid,0,0
2015-03-01,Valencia,Sociedad,2,0
2015-03-02,Celta,Elche,1,1
2015-03-06,Levante,Eibar,2,1
2015-03-07,Ath Bilbao,Real Madrid,1,0
2015-03-07,Elche,Almeria,1,0
2015-03-07,Granada,Malaga,1,0
2015-03-07,La Coruna,Sevilla,3,4
2015-03-08,Ath Madrid,Valencia,1,1
2015-03-08,Barcelona,Vallecano,6,1
2015-03-08,Sociedad,Espanol,1,0
2015-03-08,Villarreal,Celta,4,1
2015-03-09,Cordoba,Getafe,1,2
2015-03-13,Valencia,La Coruna,2,0
2015-03-14,Celta,Ath Bilbao,1,2
2015-03-14,Eibar,Barcelona,0,2
2015-03-14,Espanol,Ath Madrid,0,0
2015-03-14,Vallecano,Granada,3,1
2015-03-15,Almeria,Villarreal,0,0
2015-03-15,Malaga,Cordoba,2,0
2015-03-15,Real Madrid,Levante,2,0
2015-03-15,Sevilla,Elche,3,0
2015-03-16,Getafe,Sociedad,0,1
2015-03-20,Elche,Valencia,0,4
2015-03-21,Ath Bilbao,Almeria,2,1
2015-03-21,Ath Madrid,Getafe,2,0
2015-03-21,Granada,Eibar,0,0
2015-03-21,Levante,Celta,0,1
2015-03-21,Vallecano,Malaga,1,0
2015-03-22,Barcelona,Real Madrid,2,1
2015-03-22,La Coruna,Espanol,0,0
2015-03-22,Sociedad,Cordoba,3,1
2015-03-22,Villarreal,Sevilla,0,2
2015-04-03,Eibar,Vallecano,1,2
2015-04-04,Almeria,Levante,1,4
2015-04-04,Cordoba,Ath Madrid,0,2
2015-04-04,Malaga,Sociedad,1,1
2015-04-04,Sevilla,Ath Bilbao,2,0
2015-04-05,Celta,Barcelona,0,1
2015-04-05,Getafe,La Coruna,2,1
2015-04-05,Real Madrid,Granada,9,1
2015-04-05,Valencia,Villarreal,0,0
2015-04-06,Espanol,Elche,1,1
2015-04-07,Ath Madrid,Sociedad,2,0
2015-04-07,Eibar,Malaga,1,0
2015-04-07,Levante,Sevilla,1,2
2015-04-08,Barcelona,Almeria,4,0
2015-04-08,Granada,Celta,1,1
2015-04-08,La Coruna,Cordoba,1,1
2015-04-08,Vallecano,Real Madrid,0,2
2015-04-09,Ath Bilbao,Valencia,1,1
2015-04-09,Elche,Getafe,0,1
2015-04-09,Villarreal,Espanol,0,3
2015-04-11,Almeria,Granada,3,0
2015-04-11,Celta,Vallecano,6,1
2015-04-11,Malaga,Ath Madrid,2,2
2015-04-11,Real Madrid,Eibar,3,0
2015-04-11,Sevilla,Barcelona,2,2
2015-04-12,Cordoba,Elche,0,2
2015-04-12,Espanol,Ath Bilbao,1,0
2015-04-12,Getafe,Villarreal,1,1
2015-04-12,Sociedad,La Coruna,2,2
2015-04-13,Valencia,Levante,3,0
2015-04-17,Levante,Espanol,2,2
2015-04-18,Ath Bilbao,Getafe,4,0
2015-04-18,Barcelona,Valencia,2,0
2015-04-18,La Coruna,Ath Madrid,1,2
2015-04-18,Real Madrid,Malaga,3,1
