Team
Arsenal
Crystal Palace
Leicester
Everton
Man United
Swansea
QPR
Hull
Stoke
Aston Villa
West Brom
Sunderland
West Ham
Tottenham
Liverpool
Southampton
Newcastle
Man City
Burnley
Chelsea
Bournemouth
Watford
Norwich
Middlesbrough
Brighton
Huddersfield
Cardiff
Fulham
Wolves
